"Date","Price","Open","High","Low","Vol.","Change %"
"01-04-2025","11,979.30","12,600.00","12,653.50","10,400.00","565.87K","-5.33%"
"01-03-2025","12,653.65","11,297.60","13,955.00","11,085.95","2.99M","12.13%"
"01-02-2025","11,284.35","13,000.00","13,199.90","10,300.00","2.46M","-12.28%"
"01-01-2025","12,863.55","14,412.20","15,685.70","8,801.00","3.09M","-10.75%"
"01-12-2024","14,412.20","11,980.00","15,088.90","11,562.10","1.14M","20.32%"
"01-11-2024","11,978.55","13,800.00","14,945.00","10,925.45","1.82M","-13.32%"
"01-10-2024","13,819.00","14,600.00","16,549.95","13,024.70","1.40M","-4.99%"
"01-09-2024","14,545.30","12,120.00","14,839.85","11,210.00","931.34K","20.26%"
"01-08-2024","12,095.05","11,751.70","12,673.70","10,804.95","836.76K","4.20%"
"01-07-2024","11,607.10","13,029.90","14,382.00","10,915.85","1.53M","-10.10%"
"01-06-2024","12,911.60","11,450.00","13,249.95","9,090.00","1.57M","19.92%"
"01-05-2024","10,767.15","9,575.00","12,379.60","8,713.45","4.41M","12.41%"
"01-04-2024","9,578.75","7,033.25","9,890.00","6,814.40","2.27M","37.39%"
"01-03-2024","6,971.70","6,046.55","7,450.00","6,005.05","1.06M","16.11%"
"01-02-2024","6,004.20","5,970.00","6,520.00","5,665.00","741.72K","1.25%"
"01-01-2024","5,929.85","5,294.60","6,280.00","5,274.45","964.31K","12.64%"
"01-12-2023","5,264.35","4,700.00","5,379.95","4,700.00","921.45K","12.67%"
"01-11-2023","4,672.35","4,173.20","4,948.00","4,116.40","874.73K","12.77%"
"01-10-2023","4,143.10","4,120.65","4,660.90","3,895.90","640.79K","1.05%"
"01-09-2023","4,100.15","4,400.95","4,686.95","4,090.05","626.95K","-6.83%"
"01-08-2023","4,400.95","3,963.20","4,800.00","3,902.05","741.67K","11.63%"
"01-07-2023","3,942.45","4,179.70","4,365.00","3,931.30","536.75K","-5.18%"
"01-06-2023","4,157.85","3,861.65","4,293.95","3,815.00","538.52K","8.10%"
"01-05-2023","3,846.45","3,325.90","4,094.50","3,310.00","1.17M","16.26%"
