"Date","Price","Open","High","Low","Vol.","Change %"
"11-04-2025","12,575.05","12,538.75","12,612.90","12,472.25","","2.69%"
"09-04-2025","12,245.30","12,275.70","12,305.05","12,159.95","","-0.58%"
"08-04-2025","12,317.15","12,328.05","12,430.00","12,143.00","","1.72%"
"07-04-2025","12,109.00","11,676.60","12,162.65","11,676.20","","-3.69%"
"04-04-2025","12,573.20","13,027.50","13,028.90","12,526.35","","-3.77%"
"03-04-2025","13,066.15","13,016.90","13,155.30","13,010.80","","-0.05%"
"02-04-2025","13,072.30","12,972.05","13,083.40","12,875.95","","0.80%"
"01-04-2025","12,968.25","13,050.15","13,173.25","12,942.90","","-0.99%"
"28-03-2025","13,097.55","13,210.05","13,238.95","13,037.90","","-0.63%"
"27-03-2025","13,180.45","13,118.20","13,206.45","13,066.00","","-0.15%"
"26-03-2025","13,200.70","13,265.15","13,322.55","13,184.70","","-0.26%"
"25-03-2025","13,235.15","13,473.80","13,479.15","13,206.75","","-1.27%"
"24-03-2025","13,406.05","13,347.25","13,427.95","13,287.50","","1.09%"
"21-03-2025","13,261.45","13,246.55","13,318.00","13,211.45","","0.48%"
"20-03-2025","13,197.45","13,150.00","13,211.00","13,042.25","","0.87%"
"19-03-2025","13,083.10","12,997.20","13,101.45","12,939.70","","1.17%"
"18-03-2025","12,932.20","12,768.45","12,938.80","12,736.60","","1.92%"
"17-03-2025","12,688.80","12,603.00","12,760.05","12,602.75","","0.77%"
